[ 2017-02-28T01:04:10+08:00 ] /robots.txt | INFO: Tag[ route_check ] --START--
[ 2017-02-28T02:23:25+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-28T02:23:25+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-28T02:23:25+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-28T02:23:25+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-28T02:23:25+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-28T02:23:25+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-28T02:23:25+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-28T02:23:25+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-28T02:23:25+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-28T02:23:25+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-28T02:23:29+08:00 ] /Index_Login.html | INFO: Tag[ route_check ] --START--
[ 2017-02-28T02:23:29+08:00 ] /Index_Login.html | INFO: Run CheckRoute Behavior [ RunTime:0.015625s ]
[ 2017-02-28T02:23:29+08:00 ] /Index_Login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.015625s ]
[ 2017-02-28T02:23:29+08:00 ] /Index_Login.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T02:23:29+08:00 ] /Index_Login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:23:29+08:00 ] /Index_Login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:23:29+08:00 ] /Index_Login.html | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-02-28T02:23:29+08:00 ] /Index_Login.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-28T02:23:29+08:00 ] /Index_Login.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-28T02:23:29+08:00 ] /Index_Login.html | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Tag[ route_check ] --START--
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Tag[ view_template ] --START--
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.031250s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031250s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Tag[ view_end ] --START--
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:26+08:00 ] /index_login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | ERR: (ThinkException) 非法操作line
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | INFO: Tag[ route_check ] --START--
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/login_line_bg.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | ERR: (ThinkException) 非法操作icon2.png
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | INFO: Tag[ route_check ] --START--
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon2.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | ERR: (ThinkException) 非法操作icon1.png
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | INFO: Tag[ route_check ] --START--
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-28T02:27:27+08:00 ] /static/images/input_icon1.png | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-02-28T02:40:18+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.031250s ]
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031250s ]
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:18+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ route_check ] --START--
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='static/fonts/glyphicons-halflings-regular.woff' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_template ] --START--
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_parse ] --START--
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_filter ] --START--
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_end ] --START--
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:40:19+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-02-28T02:49:13+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-28T02:49:13+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
